frame.time_delta,frame.time_relative,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.flags,tcp.time_delta,tcp.len,tcp.ack,tcp.connection.fin,tcp.connection.rst,tcp.connection.sack,tcp.connection.syn,tcp.flags.ack,tcp.flags.fin,tcp.flags.push,tcp.flags.reset,tcp.flags.syn,tcp.flags.urg,tcp.hdr_len,tcp.payload,tcp.pdu.size,tcp.window_size_value,tcp.checksum,mqtt.clientid,mqtt.clientid_len,mqtt.conack.flags,mqtt.conack.val,mqtt.conflag.passwd,mqtt.conflag.qos,mqtt.conflag.reserved,mqtt.conflag.retain,mqtt.conflag.willflag,mqtt.conflags,mqtt.dupflag,mqtt.hdrflags,mqtt.kalive,mqtt.len,mqtt.msg,mqtt.msgtype,mqtt.qos,mqtt.retain,mqtt.topic,mqtt.topic_len,mqtt.ver,mqtt.willmsg_len,ip.proto,ip.ttl,class,label,anomaly_prediction
2.4e-05,930.820731,646,10.5.126.152,10.5.126.84,40605,1883,0x00000018,2.999262,12,35,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0a:00:05:43:6f:47:61:73:32:34:31,12,8204,0x00001129,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,10,241.0,3,0.0,0.0,CoGas,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.7e-05,933.819183,911,10.5.126.137,10.5.126.84,33045,1883,0x00000018,2.998609,200,1279,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:09:00:04:46:69:72:65:09:bf:30,11,7526,0x00001119,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,9,0.0,3,1.0,0.0,Fire,4.0,0.0,0.0,6,64,environmentMonitoring,1,1
3.6e-05,965.823979,82,10.5.126.133,10.5.126.84,46179,1883,0x00000018,5.003498,127,37,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0c:00:08:48:75:6d:69:64:69:74:79:39:39,14,8942,0x00001118_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,12,99.0,3,0.0,0.0,Humidity,8.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.2e-05,1023.81995,947,10.5.126.84,10.5.126.157,1883,39989,0x00000018,2.2e-05,4,3834,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:0a:ac,4,5407,0x00001126,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
3.3e-05,1068.819645,80,10.5.126.152,10.5.126.84,45805,1883,0x00000018,2.998917,12,39,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0a:00:05:43:6f:47:61:73:33:35:34,12,2804,0x00001129_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,10,354.0,3,0.0,0.0,CoGas,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
1.1e-05,1080.319019,1190,10.5.126.84,10.5.126.156,1883,38481,0x00000018,0.000415,10,4394,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,d0:00,2,512,0x00001123,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x000000d0,0.0,0,0.0,13,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
6.3e-05,1165.819301,1541,10.5.126.133,10.5.126.84,46179,1883,0x00000018,4.998456,139,43,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0d:00:08:48:75:6d:69:64:69:74:79:2d:34:36,15,512,0x00001119,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,13,-46.0,3,0.0,0.0,Humidity,8.0,0.0,0.0,6,64,environmentMonitoring,1,1
3.5e-05,1182.81898,1265,10.5.126.156,10.5.126.84,37003,1883,0x00000018,2.997693,175,1619,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:0a:00:05:53:6d:6f:6b:65:0c:56:30,12,512,0x0000112d_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,10,0.0,3,1.0,0.0,Smoke,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
3.8e-05,1335.840629,1243,10.5.126.84,10.5.126.156,1883,37003,0x00000018,3.8e-05,4,5434,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:0d:ee,4,512,0x00001125_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
3.8e-05,1385.820861,1641,10.5.126.151,10.5.126.84,35151,1883,0x00000018,5.001071,17,51,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0f:00:0b:54:65:6d:70:65:72:61:74:75:72:65:32:33,17,10159,0x0000112d_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,15,23.0,3,0.0,0.0,Temperature,11.0,0.0,0.0,6,64,environmentMonitoring,1,1
0.000261,1461.821364,1454,10.5.126.136,10.5.126.84,41065,1883,0x00000018,3.001565,12,2001,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:0a:00:05:53:6d:6f:6b:65:0f:3b:30,12,8514,0x00001119,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,10,0.0,3,1.0,0.0,Smoke,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.9e-05,1491.819736,881,10.5.126.137,10.5.126.84,38017,1883,0x00000018,2.999872,79,2041,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:09:00:04:46:69:72:65:0f:91:30,11,3514,0x00001119,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,9,0.0,3,1.0,0.0,Fire,4.0,0.0,0.0,6,64,environmentMonitoring,1,1
5.3e-05,1500.823135,647,10.5.126.153,10.5.126.84,45639,1883,0x00000018,0.5041,15,55,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0d:00:08:48:75:6d:69:64:69:74:79:2d:34:32,15,512,0x0000112d_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,13,-42.0,3,0.0,0.0,Humidity,8.0,0.0,0.0,6,64,environmentMonitoring,1,1
6.8e-05,1506.826858,1221,10.5.126.84,10.5.126.157,1883,37755,0x00000018,6.8e-05,49,5621,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:0f:b2,4,512,0x00001126_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
1.6e-05,1521.819483,964,10.5.126.137,10.5.126.84,38017,1883,0x00000018,2.999981,11,2083,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:09:00:04:46:69:72:65:0f:e1:30,11,8436,0x00001119_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,9,0.0,3,1.0,0.0,Fire,4.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.5e-05,1641.819596,799,10.5.126.84,10.5.126.157,1883,39989,0x00000018,2.5e-05,4,6120,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:11:1c,4,9939,0x00001126,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.3e-05,1670.819826,963,10.5.126.154,10.5.126.84,43673,1883,0x00000018,4.999698,16,59,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0e:00:09:42:61:72:6f:6d:65:74:65:72:38:38:36,16,7670,0x0000112f,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,14,886.0,3,0.0,0.0,Barometer,9.0,0.0,0.0,6,64,environmentMonitoring,1,1
0.000117,1790.82756,1019,10.5.126.151,10.5.126.84,35151,1883,0x00000018,5.004899,17,63,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0f:00:0b:54:65:6d:70:65:72:61:74:75:72:65:32:33,17,2929,0x0000112d_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,15,23.0,3,0.0,0.0,Temperature,11.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.3e-05,1815.81973,1254,10.5.126.152,10.5.126.84,40605,1883,0x00000018,2.997308,12,65,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0a:00:05:43:6f:47:61:73:32:36:33,12,5509,0x00001129_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,10,263.0,3,0.0,0.0,CoGas,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.2e-05,1855.819136,84,10.5.126.135,10.5.126.84,38619,1883,0x00000018,5.000153,170,65,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0e:00:08:53:6f:6c:61:72:52:61:64:31:37:34:36,16,512,0x0000111c_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,14,1746.0,3,0.0,0.0,SolarRad,8.0,0.0,0.0,6,64,environmentMonitoring,1,1
1.6e-05,1887.819758,72,10.5.126.84,10.5.126.157,1883,39989,0x00000018,1.6e-05,70,7030,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:13:ac,4,4011,0x00001126_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.999073,88.247034,79,10.5.150.157,10.5.150.109,44853,1883,0x00000018,2.999397,161,123,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:09:00:04:46:69:72:65:00:76:30,11,512,0x00004146_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,9,0.0,3,1.0,0.0,Fire,4.0,0.0,0.0,6,64,environmentMonitoring,1,1
0.000257,553.252116,72,10.5.150.109,10.5.150.157,1883,34445,0x00000018,0.000257,41,2091,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:02:e5,4,6929,0x0000413f_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
3.2e-05,787.250396,80,10.5.150.152,10.5.150.109,37239,1883,0x00000018,3.001716,173,31,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0a:00:05:43:6f:47:61:73:33:34:32,12,3195,0x00004142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,10,342.0,3,0.0,0.0,CoGas,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
3e-05,832.251726,416,10.5.150.157,10.5.150.109,34445,1883,0x00000018,3.005249,11,1139,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:09:00:04:46:69:72:65:04:59:30,11,6529,0x00004146_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,9,0.0,3,1.0,0.0,Fire,4.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.9e-05,847.250707,541,10.5.150.156,10.5.150.109,37361,1883,0x00000018,3.003879,12,1161,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:0a:00:05:53:6d:6f:6b:65:04:6b:30,12,5282,0x00004146,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,10,0.0,3,1.0,0.0,Smoke,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
4e-06,955.246461,85,10.5.150.151,10.5.150.109,46547,1883,0x00000018,4.999664,134,35,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0f:00:0b:54:65:6d:70:65:72:61:74:75:72:65:32:34,17,5953,0x00004146_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,15,24.0,3,0.0,0.0,Temperature,11.0,0.0,0.0,6,64,environmentMonitoring,1,1
7e-06,1063.246359,750,10.5.150.156,10.5.150.109,44939,1883,0x00000018,2.998674,12,1455,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:0a:00:05:53:6d:6f:6b:65:05:8c:30,12,3333,0x00004146,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,10,0.0,3,1.0,0.0,Smoke,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
6.3e-05,1084.246363,1391,10.5.150.109,10.5.150.156,1883,44939,0x00000018,9.4e-05,4,4418,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:05:a8,4,4376,0x0000413e,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.1e-05,1216.24599,80,10.5.150.156,10.5.150.109,37361,1883,0x00000018,2.9995,106,1665,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,32:0a:00:05:53:6d:6f:6b:65:06:57:30,12,3562,0x00004146,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000032,0.0,10,0.0,3,1.0,0.0,Smoke,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
7.3e-05,1468.247481,933,10.5.150.152,10.5.150.109,35397,1883,0x00000018,2.999729,118,53,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0a:00:05:43:6f:47:61:73:34:31:37,12,8876,0x00004142,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,10,417.0,3,0.0,0.0,CoGas,5.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.2e-05,1475.247056,84,10.5.150.154,10.5.150.109,38551,1883,0x00000018,5.000814,175,53,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0e:00:09:42:61:72:6f:6d:65:74:65:72:38:38:38,16,512,0x00004148_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,14,888.0,3,0.0,0.0,Barometer,9.0,0.0,0.0,6,64,environmentMonitoring,1,1
4.7e-05,1495.249223,857,10.5.150.155,10.5.150.109,41133,1883,0x00000018,5.001779,159,53,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0e:00:08:53:6f:6c:61:72:52:61:64:31:35:35:37,16,2748,0x00004149,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,14,1557.0,3,0.0,0.0,SolarRad,8.0,0.0,0.0,6,64,environmentMonitoring,1,1
9.4e-05,1618.247275,523,10.5.150.109,10.5.150.157,1883,44853,0x00000018,9.4e-05,4,6030,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,40:02:08:6e,4,8576,0x0000413f_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000040,0.0,2,0.0,4,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
2.5e-05,1750.248781,621,10.5.150.151,10.5.150.109,46547,1883,0x00000018,5.001089,17,63,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0f:00:0b:54:65:6d:70:65:72:61:74:75:72:65:32:30,17,512,0x00004146_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,15,20.0,3,0.0,0.0,Temperature,11.0,0.0,0.0,6,64,environmentMonitoring,1,1
6e-06,1885.246358,85,10.5.150.151,10.5.150.109,43295,1883,0x00000018,4.999467,17,67,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,30:0f:00:0b:54:65:6d:70:65:72:61:74:75:72:65:32:31,17,5858,0x00004146_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x00000030,0.0,15,21.0,3,0.0,0.0,Temperature,11.0,0.0,0.0,6,64,environmentMonitoring,1,1
8e-06,1980.246637,70,10.5.150.109,10.5.150.154,1883,41731,0x00000018,0.000156,38,6456,0.0,0.0,0.0,0.0,1,0,1,0,0,0,32,d0:00,2,512,0x0000413a_CORRUPTED,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0x000000d0,0.0,0,0.0,13,0.0,0.0,0,0.0,0.0,0.0,6,64,environmentMonitoring,1,1
